destination,country,continent,population,cost_index,safety_index,climate,activities,style,has_beaches,has_mountains,is_urban,is_safe,is_expensive
"Santorini, Greece Variant 134",Greece,Europe,20465,95.05501810611491,87.85537557912565,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 135",Indonesia,Asia,5748217,62.077155412496204,83.61270040145038,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece Variant 136",Greece,Europe,18915,80.55631222456947,89.6162288145449,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 137",Thailand,Asia,592971,76.3811274954764,89.5051942000223,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 138",USA,North America,1302428,109.59842049355656,79.84612448940976,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Phuket, Thailand Variant 139",Thailand,Asia,322977,53.65394964706643,86.97876118340677,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 140",Thailand,Asia,272823,79.62822634045459,80.07469869070246,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,False,False
"Santorini, Greece Variant 141",Greece,Europe,14699,74.16097176514276,91.80207328072149,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Phuket, Thailand Variant 142",Thailand,Asia,527964,69.39848103529688,86.23006772335634,Tropical,"['Island hopping', 'Massage', 'Beach bars']",Relaxation,True,False,False,True,False
"Bali, Indonesia Variant 143",Indonesia,Asia,3116589,79.02026281835455,79.8869845527759,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Hawaii, USA Variant 144",USA,North America,1184423,110.62502733249475,83.09762996837328,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,False,True
"Bali, Indonesia Variant 145",Indonesia,Asia,3572633,44.983799901050844,78.59449853557022,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece Variant 146",Greece,Europe,17841,84.28821010217203,90.86291390678079,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 147",USA,North America,846394,123.99355436586002,91.62316841456385,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,False,True,True
"Bali, Indonesia Variant 148",Indonesia,Asia,6032091,55.59630369920174,76.76531611147213,Tropical,"['Beach lounging', 'Spa treatments', 'Yoga retreats']",Relaxation,True,False,True,False,False
"Santorini, Greece Variant 149",Greece,Europe,21528,91.46248007818856,90.6106017862754,Mediterranean,"['Sunset watching', 'Wine tasting', 'Beach relaxation']",Relaxation,True,False,False,True,False
"Hawaii, USA Variant 150",USA,North America,1175230,111.14533366215464,91.75072735499415,Tropical,"['Beach activities', 'Volcano tours', 'Luau experiences']",Relaxation,True,False,True,True,True
"Tokyo, Japan Variant 1",Japan,Asia,17882503,94.20299088526373,97.87947560923749,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 2",Spain,Europe,1995175,73.48581996385552,83.58057082972839,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Berlin, Germany Variant 3",Germany,Europe,4205231,71.46573256264004,73.8666893512833,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Berlin, Germany Variant 4",Germany,Europe,2570902,81.18686547847906,89.6466221876975,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Rome, Italy Variant 5",Italy,Europe,1900985,90.05991109959534,73.01294328270247,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Rome, Italy Variant 6",Italy,Europe,3304885,91.13517972730416,77.88603717400797,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Berlin, Germany Variant 7",Germany,Europe,3461448,79.82271890702943,81.90050150110439,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Paris, France Variant 8",France,Europe,2956836,104.32879084328621,89.36579274309574,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 9",Spain,Europe,1828599,88.73783040960116,89.84061917567358,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Barcelona, Spain Variant 10",Spain,Europe,874976,82.24451818559972,91.23549151306077,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,True,False
"Barcelona, Spain Variant 11",Spain,Europe,857619,95.6870901101093,78.28231094082443,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,False,False
"Tokyo, Japan Variant 12",Japan,Asia,18009585,91.11789244552752,91.18480170724439,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Rome, Italy Variant 13",Italy,Europe,3226282,98.76803492878929,86.88508047878645,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Rome, Italy Variant 14",Italy,Europe,3665948,101.56988469704775,75.29790664055481,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,True
"Tokyo, Japan Variant 15",Japan,Asia,10273240,99.74445929008554,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 16",Spain,Europe,1466133,95.42255946048499,95.02248544180804,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Barcelona, Spain Variant 17",Spain,Europe,1770580,76.37559058596868,80.40165052686928,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Paris, France Variant 18",France,Europe,1942838,112.16765480314388,92.6880578003702,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 19",Spain,Europe,2381110,64.44101349510105,84.63802014750095,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Rome, Italy Variant 20",Italy,Europe,2706436,79.08696784907968,73.23907389298277,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 21",Spain,Europe,2152791,64.4341810134025,83.85942419517043,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Rome, Italy Variant 22",Italy,Europe,4161779,77.57980258443021,76.47672302096288,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 23",Spain,Europe,869407,88.47079009985035,92.1125045744344,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,True,False
"Berlin, Germany Variant 24",Germany,Europe,4831067,70.32287227859143,92.95571893431313,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 25",Spain,Europe,1684647,76.78376863954037,83.74497484935036,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Tokyo, Japan Variant 26",Japan,Asia,7512516,98.69084027230251,92.82522567733933,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Berlin, Germany Variant 27",Germany,Europe,2218265,76.90937750773315,79.52718383793108,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 28",Spain,Europe,1050315,89.16327674702481,87.73244237948997,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Rome, Italy Variant 29",Italy,Europe,2840956,76.28866235962484,85.01695011677039,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Berlin, Germany Variant 30",Germany,Europe,2425511,75.63856301334143,84.60294966945355,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 31",Japan,Asia,9588014,92.79209581063562,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Berlin, Germany Variant 32",Germany,Europe,5515354,83.05192674780949,77.90513738731937,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 33",Japan,Asia,12178079,101.83771134623042,98.83384809798258,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Paris, France Variant 34",France,Europe,1146166,96.97565990172382,87.24614217459873,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Paris, France Variant 35",France,Europe,2378417,103.39184867716313,94.07686342413453,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 36",Spain,Europe,1068045,63.86531339731598,90.65504732163927,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Paris, France Variant 37",France,Europe,1959828,98.21357215450273,87.10960377117642,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Berlin, Germany Variant 38",Germany,Europe,2972556,78.02398844238225,80.07323428743973,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 39",Spain,Europe,1891501,85.97400069849859,89.5058637115545,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Paris, France Variant 40",France,Europe,1765959,91.80443237680919,89.74088412681151,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Paris, France Variant 41",France,Europe,1790131,108.38115216447682,92.93186940079508,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Berlin, Germany Variant 42",Germany,Europe,3318301,97.12191309384686,89.55993856905323,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Paris, France Variant 43",France,Europe,2040890,95.41689037131941,83.83800446749764,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 44",Japan,Asia,17541407,131.419669772878,98.165135214829,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Tokyo, Japan Variant 45",Japan,Asia,13639024,86.10427533236404,89.77300626521554,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Berlin, Germany Variant 46",Germany,Europe,2811936,50.8354823478751,81.33448037567743,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 47",Japan,Asia,16930572,113.18764615727194,98.43429581580901,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Rome, Italy Variant 48",Italy,Europe,1458228,92.58928589786765,84.40595711984687,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Paris, France Variant 49",France,Europe,2495291,82.82695144136987,82.58976602585892,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Berlin, Germany Variant 50",Germany,Europe,3209765,74.66313473091284,79.24825908449132,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Berlin, Germany Variant 51",Germany,Europe,2958185,84.7090073193431,80.9127669377045,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Rome, Italy Variant 52",Italy,Europe,3105517,87.54249204134929,80.60294070590953,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 53",Japan,Asia,10761879,90.1751260646169,96.87683425001488,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Rome, Italy Variant 54",Italy,Europe,1790518,88.29315785151776,84.9741287220385,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Paris, France Variant 55",France,Europe,2306461,108.97414703060372,84.62427916594991,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,True
"Paris, France Variant 56",France,Europe,1887654,84.98231721435346,85.34235684264335,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Berlin, Germany Variant 57",Germany,Europe,4151974,75.48860070325705,84.20295845601942,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Paris, France Variant 58",France,Europe,2795780,84.40607869530056,87.38776858062823,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Paris, France Variant 59",France,Europe,2895440,92.2467677649457,88.75687993537973,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Tokyo, Japan Variant 60",Japan,Asia,10525379,110.6985049870104,93.43525963487996,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 61",Spain,Europe,1496455,73.26509375756132,87.39497081111901,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Barcelona, Spain Variant 62",Spain,Europe,1052520,68.57873456703827,84.74840644133504,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Paris, France Variant 63",France,Europe,2672884,91.45892358552013,87.26768916872588,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Paris, France Variant 64",France,Europe,1466121,84.36598354482147,81.29976541088614,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Rome, Italy Variant 65",Italy,Europe,2102884,99.59493603383521,74.5734453061903,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Paris, France Variant 66",France,Europe,3215104,99.14541814379788,81.13847987336763,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Rome, Italy Variant 67",Italy,Europe,2708425,102.08546369766887,80.93737673741427,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,True
"Rome, Italy Variant 68",Italy,Europe,4284378,90.68983079185276,91.14198311564269,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Berlin, Germany Variant 69",Germany,Europe,2183831,69.18319086051356,78.92621634653567,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Rome, Italy Variant 70",Italy,Europe,2423549,74.77564620454234,93.39972961845261,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 71",Spain,Europe,919532,73.7818169949361,89.50686532419611,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,True,False
"Berlin, Germany Variant 72",Germany,Europe,2906454,91.89636997694697,88.35288107907121,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 73",Spain,Europe,1335420,92.27668992473292,79.95179490654397,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Barcelona, Spain Variant 74",Spain,Europe,1882179,96.72572386837703,88.09509504683022,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Barcelona, Spain Variant 75",Spain,Europe,907430,85.58326912521723,86.38002695706206,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,True,False
"Berlin, Germany Variant 76",Germany,Europe,4277664,68.24013727025603,86.61388975232946,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Tokyo, Japan Variant 77",Japan,Asia,8311106,115.83465025384093,96.46609803564314,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Paris, France Variant 78",France,Europe,1730643,94.79981100655571,86.91805985393967,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Berlin, Germany Variant 79",Germany,Europe,2336135,83.6531690202038,87.82048039248137,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Paris, France Variant 80",France,Europe,2900133,118.19329539981695,86.96658919697185,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Tokyo, Japan Variant 81",Japan,Asia,17939186,102.98052210107176,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 82",Spain,Europe,2076885,69.29405661764397,81.55126949106716,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Tokyo, Japan Variant 83",Japan,Asia,12270188,87.79682622784225,94.4065903727836,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Paris, France Variant 84",France,Europe,1740738,83.96633393826127,74.23554703523759,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 85",Spain,Europe,2224805,84.49010963418937,83.34746188530922,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Barcelona, Spain Variant 86",Spain,Europe,2189308,80.81829358547564,85.50555173404429,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Rome, Italy Variant 87",Italy,Europe,3373774,102.7421250413802,84.30132779183863,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,True
"Rome, Italy Variant 88",Italy,Europe,3706257,79.9287693994341,81.81822631455502,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Berlin, Germany Variant 89",Germany,Europe,1970786,70.6588982050402,81.2811028338833,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 90",Spain,Europe,1738327,81.23230272914662,89.54730908714927,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Berlin, Germany Variant 91",Germany,Europe,5133432,74.74973041254856,88.08883149600143,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Berlin, Germany Variant 92",Germany,Europe,3081276,67.00461078767316,85.75773979412945,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Berlin, Germany Variant 93",Germany,Europe,1981785,80.077576703115,84.26994209222896,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 94",Spain,Europe,1315142,51.11728794807276,87.46634657066751,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Barcelona, Spain Variant 95",Spain,Europe,2189346,63.435671348288494,92.28218171172594,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Rome, Italy Variant 96",Italy,Europe,3058139,79.37399718346308,79.99208159292861,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Rome, Italy Variant 97",Italy,Europe,3603470,70.04121801944582,87.4105239112044,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Rome, Italy Variant 98",Italy,Europe,1926819,77.30231122119123,80.1977245086003,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 99",Spain,Europe,1811243,67.25631253620621,89.1303821275391,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Berlin, Germany Variant 100",Germany,Europe,4203262,84.49554135441323,76.57551015775049,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 101",Spain,Europe,2183785,88.77078769350588,89.3678257159335,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Berlin, Germany Variant 102",Germany,Europe,3219616,55.56012570514867,97.49857070209755,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Berlin, Germany Variant 103",Germany,Europe,3343399,72.67328091480002,78.76761028687785,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Berlin, Germany Variant 104",Germany,Europe,4750032,76.0884563020912,78.40684285900596,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Paris, France Variant 105",France,Europe,1779584,99.16236366927595,90.3809166066516,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Berlin, Germany Variant 106",Germany,Europe,4905493,74.84690150827005,86.89645749800545,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Rome, Italy Variant 107",Italy,Europe,2200290,84.89884088531089,94.09210712057364,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,False
"Berlin, Germany Variant 108",Germany,Europe,3724680,70.5671774880849,79.5759864298655,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 109",Spain,Europe,1865771,84.42806381020915,92.02963403808295,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Berlin, Germany Variant 110",Germany,Europe,3616154,77.84889892572198,85.03546931116476,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Paris, France Variant 111",France,Europe,1301245,99.65045461015183,85.83326414281757,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Tokyo, Japan Variant 112",Japan,Asia,13059873,106.7792587133927,95.56044295927148,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Tokyo, Japan Variant 113",Japan,Asia,10489350,105.88199934971857,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Tokyo, Japan Variant 114",Japan,Asia,12345953,84.90578086593237,96.62136373766337,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Paris, France Variant 115",France,Europe,1224535,83.08709860712193,85.31342698443437,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 116",Spain,Europe,1639799,77.71017138509754,86.45021418826643,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Paris, France Variant 117",France,Europe,2693053,105.93068586613211,87.87684813596188,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Rome, Italy Variant 118",Italy,Europe,1471287,71.52873710470304,78.14192980744674,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Rome, Italy Variant 119",Italy,Europe,4225464,74.2333906547567,74.10684583395098,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Berlin, Germany Variant 120",Germany,Europe,4373180,67.18287479388032,88.39796293993183,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 121",Spain,Europe,2266219,73.16406199835076,89.54766788653687,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Paris, France Variant 122",France,Europe,1905871,91.77320161157864,83.74583491772476,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 123",Spain,Europe,2064906,84.55887772081607,96.82501172450542,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Tokyo, Japan Variant 124",Japan,Asia,11452639,99.26931031592927,92.66491706791062,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,False
"Tokyo, Japan Variant 125",Japan,Asia,15348108,115.28468426412532,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 126",Spain,Europe,1063754,71.70962541646793,87.00850279958273,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Rome, Italy Variant 127",Italy,Europe,3016914,73.85524173128654,81.15510277445038,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 128",Spain,Europe,1199922,77.78746376414227,84.6159335005554,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,False,False
"Paris, France Variant 129",France,Europe,2476097,103.60473488359746,82.08461280715531,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,True
"Paris, France Variant 130",France,Europe,1638970,116.289465557456,88.44339011842713,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,True,True
"Berlin, Germany Variant 131",Germany,Europe,5572079,78.7249570979,91.99561167574687,Temperate,"['Historical sites', 'Street art', 'Nightlife']",Culture,False,False,True,True,False
"Barcelona, Spain Variant 132",Spain,Europe,897250,91.24798644593191,82.00302961919282,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,False,False,False
"Paris, France Variant 133",France,Europe,3106195,98.99687951752642,81.74321553104086,Temperate,"['Museums', 'Historical sites', 'Fine dining']",Culture,False,False,True,False,False
"Rome, Italy Variant 134",Italy,Europe,4209317,73.0390276817562,82.80130547596913,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 135",Spain,Europe,1997138,103.0041008544697,91.37716531552519,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,True
"Rome, Italy Variant 136",Italy,Europe,2291356,103.11375028664982,86.11774428450819,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,True,True
"Barcelona, Spain Variant 137",Spain,Europe,1840791,73.77621805009197,88.39044998313727,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
"Tokyo, Japan Variant 138",Japan,Asia,14737471,105.96643833533713,100.0,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Rome, Italy Variant 139",Italy,Europe,4285969,82.90976742713974,78.7473977289535,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Tokyo, Japan Variant 140",Japan,Asia,16123657,110.99904950917883,93.70947227615903,Temperate,"['Temples', 'Modern culture', 'Cuisine exploration']",Culture,False,False,True,True,True
"Rome, Italy Variant 141",Italy,Europe,1976695,96.96631486645651,79.95108547840309,Mediterranean,"['Ancient ruins', 'Art galleries', 'Food tours']",Culture,False,False,True,False,False
"Barcelona, Spain Variant 142",Spain,Europe,1659137,82.30933440829995,87.18212338131224,Mediterranean,"['Gaudi architecture', 'Beaches', 'Nightlife']",Culture,True,False,True,True,False
